match_score,claude_score,title,company,location,salary,source,posted_date,matched_skills,growth_potential,fit_reasoning,concern,url
6.3,82.0,"Business Analyst , Worldwide Grocery Stores (WWGS)",Amazon.com,"Irvine, CA, US","$70,400 – $107,400",indeed,2026-02-24,"sql, tableau, r",high,"Strong role match, SQL and AI alignment",Amazon's high-performance bar and internal leveling expectations can be demanding for mid-level candidates — the data migration and AI platform integration components may require deeper engineering familiarity than the candidate currently holds,https://www.indeed.com/viewjob?jk=4127dfc7c74e225c
5.9,80.0,Business Reporting Analyst,RadNet,"Encino, CA, US","$80,000 – $110,000",indeed,2026-05-07,"sql, r",high,"Healthcare, reporting, strong tool match","Role may skew toward pure reporting rather than deeper analytical work, potentially limiting growth ceiling if candidate wants to specialize in advanced analytics",https://www.indeed.com/viewjob?jk=d42b1c47c542535e
6.1,78.0,Data Analyst,The Walt Disney Company,"Burbank, CA, US","$89,000 – $119,300",indeed,2026-05-10,"sql, tableau, r",high,"Strong analyst alignment, brand upside",Disney enterprise scale may require deeper data governance or consumer data platform experience the candidate may not yet have,https://www.indeed.com/viewjob?jk=f1c1c2c6a1416f98
7.4,75.0,Senior Business Data Analyst,East West Bank,"Pasadena, CA, US","$100,000 – $125,000",indeed,2026-05-04,"python, sql, r",high,"Finance domain fit, solid skill alignment","Banking environments can be slower-paced and more process-constrained than other tech-adjacent industries, which may conflict with the candidate's growth and autonomy goals",https://www.indeed.com/viewjob?jk=d528747521758301
5.7,74.0,Data Analytics Analyst,Canon,"Irvine, CA, US","$69,300 – $103,770",indeed,2026-05-10,"python, sql, r",high,"RevOps analytics, good tool alignment","Salesforce.com (SFDC) experience appears to be a core requirement the candidate's profile doesn't explicitly address, which could be a disqualifying gap",https://www.indeed.com/viewjob?jk=aebd24aac4a6f13e
8.8,72.0,Sr. Sales Analyst,MiniMed,"Los Angeles, CA, US","$83,200 – $124,800",indeed,2026-05-10,"sql, tableau, project management, r",medium,"Strong analyst fit, healthcare exposure",Senior-level title may expect 5+ years of domain-specific sales analytics experience; candidate's 3 years of general experience could be a credibility gap in interviews,https://www.indeed.com/viewjob?jk=59f728030203c7f9
5.7,72.0,Business Analyst/Data Analyst,DT Professional Services,"Norco, CA, US",$nan – $nan,indeed,2026-05-10,r,medium,"Solid BA/DA overlap, defense context","Location in Norco, CA and likely defense/government contractor context may require security clearance and represents a significant industry pivot from candidate's stated targets",https://www.indeed.com/viewjob?jk=f50f0c2ecbdfa337
6.1,70.0,"Sr Analyst, Network Analytics",SCAN Health Plan,"Long Beach, CA, US","$147,900 – $254,798",indeed,2026-05-10,"python, sql, r",high,"Healthcare fit, analytics depth required",Senior-level title may require deeper domain expertise in Medicare/managed care analytics that the candidate likely hasn't yet developed,https://www.indeed.com/viewjob?jk=19fbbc88e544bcdb
5.9,65.0,Workday People Analytics & Reporting Analyst,Auto Club of Southern Calif,"Costa Mesa, CA, US","$99,500 – $132,900",indeed,2026-05-10,"tableau, r",medium,"Analytics fit, Workday tool gap","Role is heavily Workday-platform-specific (Prism, Workday Reporting) — candidate likely has no Workday experience, creating a meaningful tool-specific gap to overcome",https://www.indeed.com/viewjob?jk=a8eee0e67e2f56e0
6.2,62.0,Junior Business Systems Analyst - Women's Fashion,"Edgemine, Inc.","Los Angeles, CA, US","$55,000 – $75,000",indeed,2026-05-11,"python, sql, r",medium,"Cross-functional fit, junior title concern",Junior title is likely a step back for a 3-year mid-level candidate; fashion/apparel industry may not align with stated target industries,https://www.indeed.com/viewjob?jk=3c6f9ec4b5f1e18a
5.5,61.0,Model Risk Analyst,Sunflower Bank,"Irvine, CA, US","$85,000 – $95,000",indeed,2026-05-10,"python, sql, r",medium,"Finance fit, modeling depth needed",Model risk roles typically require knowledge of statistical model governance frameworks (SR 11-7) and financial modeling rigor that likely exceeds candidate's current depth,https://www.indeed.com/viewjob?jk=78ce1cadf0965689
6.5,60.0,Marketing Analyst - Paid Media,Apple,"Culver City, CA, US","$110,400 – $168,500",indeed,2026-05-09,"python, sql, tableau, r",medium,"Apple brand strong, niche paid media focus","Paid digital media analytics is a fairly specialized niche — if the candidate lacks specific marketing attribution or campaign optimization experience, they may struggle to compete against domain specialists",https://www.indeed.com/viewjob?jk=7f139b88d8524373
6.6,58.0,Mission Analytics Engineer,Anduril,"Irvine, CA, US","$113,000 – $149,000",indeed,2026-05-10,"python, r",high,"Analytics engineer stretch, defense domain new","Analytics Engineer roles typically require stronger software engineering fundamentals (dbt, data pipelines, production code) beyond analyst-level Python/SQL; defense industry clearance requirements may also be a barrier",https://www.indeed.com/viewjob?jk=7bb2e78f29a52723
7.0,52.0,Korean bilingual Data - Logistics Risk Analyst (Contract),Green Doors International LKC,"Santa Ana, CA, US","$79,999 – $80,000",indeed,2026-05-11,"sql, tableau, r",medium,"Supply chain fit, Korean fluency required","Korean bilingual requirement is a hard disqualifier if the candidate does not speak Korean — and it's a contract role, not a full-time growth opportunity",https://www.indeed.com/viewjob?jk=32e3e64af4dc8e05
5.5,52.0,SENIOR INFORMATION TECHNOLOGY ANALYST,"City of Huntington Beach, CA","Huntington Beach, CA, US",$51 – $71,indeed,2026-05-07,"python, sql, r",medium,"Systems fit, seniority gap risk",'Senior' title likely requires more specialized IT infrastructure or enterprise systems experience than candidate's 3-year generalist background demonstrates,https://www.indeed.com/viewjob?jk=6f5a3c0ad0388111
6.3,45.0,Senior Financial Analyst,Blockstream,"Los Angeles, CA, US","$120,000 – $150,000",indeed,2026-05-10,"python, sql, tableau, r",medium,"Finance fit, crypto niche risk",Blockstream is deeply Bitcoin/crypto-native — a Senior Financial Analyst here likely requires comfort with digital asset financial modeling and crypto-specific accounting concepts that a generalist analyst may not have developed,https://www.indeed.com/viewjob?jk=2091cab20f259340
6.2,38.0,"Data Scientist, Media Revenue and Subscriptions",Apple,"Culver City, CA, US","$163,300 – $245,800",indeed,2026-05-09,"python, sql, r",low,"Aspirational reach, significant skill gap","Apple Data Scientist role likely requires advanced ML, statistics, and PhD-level or senior experience well beyond 3 years — significant overreach",https://www.indeed.com/viewjob?jk=c1b95c8c276792e2
4.7,35.0,"Senior Marketing Data Scientist, Media Subscriptions",Apple,"Culver City, CA, US","$163,300 – $290,100",indeed,2026-05-09,"python, sql, r",medium,"Strong interest alignment, skill gap significant",Senior Data Scientist at Apple typically requires advanced ML/statistical modeling experience and likely a graduate degree — candidate's current skill depth falls meaningfully short of expectations,https://www.indeed.com/viewjob?jk=a77194838240ff13
