match_score,claude_score,title,company,location,salary,salary_midpoint,source,posted_date,matched_skills,growth_potential,fit_reasoning,concern,url
7.8,82.0,"Business Analyst , Worldwide Grocery Stores (WWGS)",Amazon.com,"Irvine, CA, US","$70,400 – $107,400",88900,indeed,2026-02-24,"r, sql, excel",high,Near-perfect role alignment,"Amazon pace, high bar hiring",https://www.indeed.com/viewjob?jk=4127dfc7c74e225c
6.8,82.0,Data Analyst,The Walt Disney Company,"Burbank, CA, US","$89,000 – $119,300",104150,indeed,2026-05-10,"r, sql, excel",high,"Strong fit, iconic growth company",Competitive Disney hiring bar,https://www.indeed.com/viewjob?jk=f1c1c2c6a1416f98
5.9,74.0,Data Analytics Analyst,Canon,"Irvine, CA, US","$69,300 – $103,770",86535,indeed,2026-05-10,"python, r, sql",medium,"RevOps analytics, good SQL fit",Salesforce/SFDC experience likely needed,https://www.indeed.com/viewjob?jk=aebd24aac4a6f13e
8.9,72.0,Sr. Sales Analyst,MiniMed,"Los Angeles, CA, US","$83,200 – $124,800",104000,indeed,2026-05-10,"r, sql, excel, project management",medium,Strong analyst role fit,Healthcare domain unfamiliar,https://www.indeed.com/viewjob?jk=59f728030203c7f9
7.7,72.0,Business Analyst/Data Analyst,DT Professional Services,"Norco, CA, US",$nan – $nan,,indeed,2026-05-10,"r, excel",medium,Strong BA/DA role match,"Defense contractor, limited ML/AI growth",https://www.indeed.com/viewjob?jk=f50f0c2ecbdfa337
5.7,72.0,Junior Business Systems Analyst - Women's Fashion,"Edgemine, Inc.","Los Angeles, CA, US","$55,000 – $75,000",65000,indeed,2026-05-11,"python, r, sql, excel",medium,"solid BA fit, fashion niche",junior title may underleveled,https://www.indeed.com/viewjob?jk=3c6f9ec4b5f1e18a
7.8,70.0,"Business Intelligence Engineer, IMDb",Amazon.com,"Santa Monica, CA, US","$99,500 – $160,000",129750,indeed,2026-04-28,"python, r, sql, excel",high,Solid BI engineer match,BI engineering depth may be stretched,https://www.indeed.com/viewjob?jk=09e68746f0a90c82
7.3,68.0,Workday People Analytics & Reporting Analyst,Auto Club of Southern Calif,"Costa Mesa, CA, US","$99,500 – $132,900",116200,indeed,2026-05-10,"r, excel",medium,"HR analytics, tool gap risk",Workday/Prism platform unfamiliarity,https://www.indeed.com/viewjob?jk=a8eee0e67e2f56e0
8.2,63.0,"Sr. Analyst, Continuous Improvement Engineering",The Walt Disney Company,"Burbank, CA, US","$129,300 – $170,300",149800,indeed,2026-05-10,"r, excel, project management",medium,Operations and analytics overlap,Engineering background likely expected,https://www.indeed.com/viewjob?jk=385155bacc6cb405
5.3,63.0,Marketing Analyst - Paid Media,Apple,"Culver City, CA, US","$110,400 – $168,500",139450,indeed,2026-05-09,"python, r, sql, excel",medium,"analytics fit, marketing gap",no paid media marketing exp,https://www.indeed.com/viewjob?jk=7f139b88d8524373
8.4,58.0,Korean bilingual Data - Logistics Risk Analyst (Contract),Green Doors International LKC,"Santa Ana, CA, US","$79,999 – $80,000",79999,indeed,2026-05-11,"r, sql, excel",low,"Supply chain fit, language barrier",Korean bilingual requirement critical,https://www.indeed.com/viewjob?jk=32e3e64af4dc8e05
5.9,58.0,"Data Scientist, Media Revenue and Subscriptions",Apple,"Culver City, CA, US","$163,300 – $245,800",204550,indeed,2026-05-09,"python, r, sql, excel",high,"Aspirational stretch, strong upside",Data Scientist title may require more depth,https://www.indeed.com/viewjob?jk=c1b95c8c276792e2
6.1,48.0,Mission Analytics Engineer,Anduril,"Irvine, CA, US","$113,000 – $149,000",131000,indeed,2026-05-10,"python, r, artificial intelligence, excel",medium,Intriguing but defense-specific gap,"Defense domain, likely clearance required",https://www.indeed.com/viewjob?jk=7bb2e78f29a52723
5.9,42.0,US Tech - AI Engineering Senior Associate,PwC,"Los Angeles, CA",$nan – $nan,,linkedin,2026-05-10,,medium,No description to evaluate,No job details available to assess,https://www.linkedin.com/jobs/view/4412357729
8.6,38.0,Senior Software Engineer:AI/ML Applications (Full Stack)-Remote,First American,"Santa Ana, CA",$nan – $nan,,linkedin,nan,,medium,"AI interest, seniority gap",Senior SWE level too advanced,https://www.linkedin.com/jobs/view/4380953081
6.5,35.0,Senior Visualization Engineer - Microstrategy,SYSTECH USA,"Glendale, CA, US",$nan – $nan,,indeed,2026-05-10,"r, sql, excel",low,"Senior level, tool mismatch","Requires 5yrs, MicroStrategy expertise",https://www.indeed.com/viewjob?jk=3d9d37bdb1ebc7e9
8.1,28.0,Principal Data Scientist,Headspace,"Los Angeles, CA, US","$162,000 – $258,750",210375,indeed,2026-05-10,"python, r, sql",low,"Overleveled, deep DS required","Principal title, 7+ yrs likely needed",https://www.indeed.com/viewjob?jk=d79c105f18a3b3a1
6.5,28.0,"Sr. Solutions Architect - ISV , ATLAS",Amazon Web Services,"Irvine, CA, US","$153,600 – $239,000",196300,indeed,2026-04-27,"r, excel",low,"Senior AWS role, large skill gap","Senior architect level, cloud exp missing",https://www.indeed.com/viewjob?jk=fdd5eda1032ca038
8.0,25.0,"Senior Product Data Scientist in Causal Inference and ML, App Store",Apple,"Culver City, CA, US","$171,600 – $302,200",236900,indeed,2026-05-09,"python, r, sql, machine learning",low,"Strong ML gap, Apple senior role","Senior Apple DS, experience gap large",https://www.indeed.com/viewjob?jk=ed1d43b6bc1e32de
8.3,22.0,"Sr. Applied Scientist, Amazon Ads",Amazon.com,"Santa Monica, CA, US","$150,400 – $260,000",205200,indeed,2025-12-07,"python, r, machine learning, artificial intelligence, excel",low,"AI interest, major level gap","Senior scientist, PhD-level role",https://www.indeed.com/viewjob?jk=a5c689165fb39704
7.0,22.0,"Software Development Engineer Internship - Amazon Leo, Summer 2026 (US)",Amazon.com,"Northridge, CA, US","$110,500 – $185,000",147750,indeed,2025-12-14,"python, r, sql, machine learning, excel",low,"Internship, overqualified candidate","Internship role, 3yr exp overqualified",https://www.indeed.com/viewjob?jk=6387b518d287d3d9
5.7,22.0,"Principal Economist, Ads Econ",Amazon.com,"Culver City, CA, US","$208,300 – $281,800",245050,indeed,2026-04-28,"python, r, machine learning, excel",low,"overleveled, deep econ required",requires PhD-level econometrics,https://www.indeed.com/viewjob?jk=9d8c3c42bea2c847
